Date,recent,open,high,low,volume,percent
4-Jan-11,33,32.5,33.3,32.3,105.95M,3.13%
5-Jan-11,33.2,33,33.2,32.8,52.61M,0.61%
6-Jan-11,33.2,33.3,33.4,32.9,39.65M,0.00%
7-Jan-11,32.2,33.1,33.1,32.2,55.19M,-3.01%
10-Jan-11,31.8,32.1,32.2,31.6,83.62M,-1.24%
11-Jan-11,31.9,31.8,32,31.5,52.78M,0.31%
12-Jan-11,32.9,32.3,33,32.3,114.61M,3.13%
13-Jan-11,33.3,33.3,33.3,32.9,58.85M,1.22%
14-Jan-11,33.2,33.2,33.2,33,29.53M,-0.30%
17-Jan-11,32.8,33.1,33.1,32.6,26.97M,-1.20%
18-Jan-11,33.4,33,33.6,32.9,56.35M,1.83%
19-Jan-11,34.2,33.6,34.2,33.4,89.19M,2.40%
20-Jan-11,33.9,33.8,34.2,33.4,87.86M,-0.88%
21-Jan-11,33.9,33.5,33.9,33.5,66.31M,0.00%
24-Jan-11,32.1,33.6,33.6,32.1,83.44M,-5.31%
25-Jan-11,32.3,32.1,32.7,31.8,97.87M,0.62%
26-Jan-11,33.7,32.6,33.7,32.4,92.23M,4.33%
27-Jan-11,34.4,33.8,34.6,33.5,144.88M,2.08%
28-Jan-11,34.2,34.1,34.3,33.7,59.40M,-0.58%
31-Jan-11,33.5,33.7,34.3,33.5,52.45M,-2.05%
1-Feb-11,33.8,33.9,34.5,33.8,69.16M,0.90%
2-Feb-11,34.4,34.3,34.5,34.2,39.16M,1.78%
3-Feb-11,34.5,34.4,34.6,34.3,21.93M,0.29%
4-Feb-11,34.5,35.1,35.1,34.5,77.04M,0.00%
7-Feb-11,33.9,34.1,34.3,33.6,86.76M,-1.74%
8-Feb-11,33.7,33.7,34,33.6,33.25M,-0.59%
9-Feb-11,33,33.5,33.7,32.9,64.80M,-2.08%
10-Feb-11,32,32.7,32.9,32,74.34M,-3.03%
11-Feb-11,31.6,32,32,31.3,88.98M,-1.25%
14-Feb-11,32.4,32,32.5,31.9,50.95M,2.53%
15-Feb-11,32.6,32.4,32.7,32.2,41.72M,0.62%
16-Feb-11,32.9,32.5,33.1,32.5,51.15M,0.92%
17-Feb-11,33.4,33,33.4,33,61.34M,1.52%
21-Feb-11,33.1,33.6,33.6,33,59.82M,-0.90%
22-Feb-11,33.3,32.7,33.4,32.7,41.53M,0.60%
23-Feb-11,33.9,33.5,34,33.4,76.65M,1.80%
24-Feb-11,34,34.3,34.5,33.9,61.41M,0.29%
25-Feb-11,34.3,33.9,34.8,33.8,83.32M,0.88%
28-Feb-11,33.7,33.9,34.2,33.6,67.48M,-1.75%
